model,id,lang,preset,voice,duration_s,latency_s,rtf,wer,entity_recall,hyp
tiny,06_vhf_pl_voice_report,pl,clean,espeak-ng:pl,25.19,0.804,0.032,1.0,0.0,[MUZYKA]
tiny,06_vhf_pl_voice_report,pl,typical,espeak-ng:pl,25.25,0.778,0.031,1.0,0.0,[MUZYKA]
tiny,06_vhf_pl_voice_report,pl,harsh,espeak-ng:pl,25.25,0.772,0.031,1.0,0.0,[MUZYKA]
tiny,06_vhf_pl_voice_report,pl,clean,espeak-ng:pl+f3,25.02,0.76,0.03,1.0,0.0,[MUZYKA]
tiny,06_vhf_pl_voice_report,pl,typical,espeak-ng:pl+f3,25.08,0.779,0.031,1.0,0.0,[MUZYKA]
tiny,06_vhf_pl_voice_report,pl,harsh,espeak-ng:pl+f3,25.08,0.783,0.031,1.0,0.0,[MUZYKA]
tiny,07_vhf_en_voice_report,en,clean,espeak-ng:en-gb,25.97,4.055,0.156,1.9,0.0,I'm not really doing anything. I'm not really doing anything. I'm not really doing anything. I'm not really doing anything. I'm not really doing anything. I'm not really doing anything. I'm not really doing anything. I'm not really doing anything. I'm not really doing anything. I'm not really doing anything. I'm not really doing anything. I'm not really doing anything. I'm not really doing anything. I'm not really doing anything. I'm not really doing anything. I'm not really doing anything. I'm not really doing anything. I'm not really doing anything. I'm not really doing anything. I'm not really doing anything. I'm not really doing anything. I'm not really doing anything. I
tiny,07_vhf_en_voice_report,en,typical,espeak-ng:en-gb,26.03,1.254,0.048,0.986,0.0,I don't know if you're in the other room.
tiny,07_vhf_en_voice_report,en,harsh,espeak-ng:en-gb,26.03,0.899,0.035,0.986,0.0,I don't know if you're interested in the competition.
tiny,07_vhf_en_voice_report,en,clean,espeak-ng:en-us+m3,25.34,0.969,0.038,0.971,0.0,I've been planning on having a better time of doing this for the first time.
tiny,07_vhf_en_voice_report,en,typical,espeak-ng:en-us+m3,25.4,0.872,0.034,0.971,0.0,I've been planning on having a better time with the government.
tiny,07_vhf_en_voice_report,en,harsh,espeak-ng:en-us+m3,25.4,0.864,0.034,0.986,0.0,I don't have any other information on the information.
small,06_vhf_pl_voice_report,pl,clean,espeak-ng:pl,25.19,2.848,0.113,1.0,0.0,(Zbunie rające)
small,06_vhf_pl_voice_report,pl,typical,espeak-ng:pl,25.25,2.83,0.112,1.0,0.0,[MUZYKA]
small,06_vhf_pl_voice_report,pl,harsh,espeak-ng:pl,25.25,3.102,0.123,1.0,0.0,(muzyka)
small,06_vhf_pl_voice_report,pl,clean,espeak-ng:pl+f3,25.02,20.743,0.829,0.708,0.0,"Dynia raniotu, dynia raniotu, jednostka, małty, małty, kotbiór, dynia raniom, małty, kotbiór, dynia raniotu, małty, moja pozycja, 50, 4 stopnie, 30 dni, mnupy, pulo, 0,18 stopni, 48 minut, chłup, cermuję jednostkę bez zapełkującą rejonie prac kamlowych, nie odponada na wywołanie odbiór."
small,06_vhf_pl_voice_report,pl,typical,espeak-ng:pl+f3,25.08,24.215,0.966,0.896,0.0,"[Zynia kanią, zynia kanią, tu jednostka, małty, małty, kombiór, tu zynia kanią, małty, kombiór, zynia kanią, tu małty, moja pozycja, nie jeżąc, ten wystotnie, trzynieści dniemiuty, tu są 0,18-stotni, czterdnieści okiemmił, tu to w termuje jednostkę bez napełkująco rurę i o niech, a skanlowych nie odpomniany, a mym o ania odbiór"
small,06_vhf_pl_voice_report,pl,harsh,espeak-ng:pl+f3,25.08,24.713,0.985,1.021,0.0,"[Znając na radion jednostkę, wauty, wauty, kodliu] [Znając na radion wauty, kodliu] [Znając w adresu, wiatr, ziadanie, żoń, w ten sposób nie przyniesie niemiuty] [Wtedy na rozie, aż wśród mi, w ten sposób niemiuty] [Złucok, w ten sposób nie wnosie jednostkę, weż na byłby wiąz] [Wrębione, a kalowy wniósł, nagra na wywołanie odbiór]"
small,07_vhf_en_voice_report,en,clean,espeak-ng:en-gb,25.97,23.903,0.92,0.657,0.444,"Talin, Rabi-O, Talin, Rabi-O is in motor vessel Nordlin, Nordlin, Kohl, Heim, Lima, Alpha, Romeo, Nulun, Channel 16, Oma, Nordlin, is in Talin, Rabi-O, Doa, Head over, Talin, Rabi-O is in Nordlin, Secure it, secure it, we have a container, a briefed in permission, I'm, I'm, degrees, two, I'm, decimal, three minutes, North, Nero, two, four degrees, four, Nero, decimal, one minute, ceased, container in partly submerged, danger to navigation, over."
